State,Deaths
Alaska,42
Alabama,1034
Arkansas,534
Arizona,932
California,4638
Colorado,290
Connecticut,406
Delaware,118
Florida,2845
Georgia,1273
Hawaii,210
Iowa,366
Idaho,161
Illinois,1681
Indiana,728
Kansas,396
Kentucky,739
Louisiana,647
Massachusetts,817
Maryland,629
Maine,211
Michigan,1321
Minnesota,392
Missouri,884
Mississippi,697
Montana,105
North Carolina,1537
North Dakota,125
Nebraska,239
New Hampshire,122
New Jersey,1156
New Mexico,297
Nevada,459
New York,3757
Ohio,1673
Oklahoma,561
Oregon,226
Pennsylvania,1844
Rhode Island,108
South Carolina,611
South Dakota,124
Tennessee,1225
Texas,2938
Utah,215
Virginia,963
Vermont,38
Washington,496
Wisconsin,550
West Virginia,413
Wyoming,79
